NET.3.1.A1;G 0.18
NET.3.1.A1;G 0.22
NET.3.1.A1;G 0.23
NET.3.1.A1;G 0.26
NET.3.1.A1;G 0.30
NET.3.1.A4;G 0.15
NET.3.1.A4;G 0.23
NET.3.1.A4;G 0.30
NET.3.1.A5;G 0.9
NET.3.1.A5;G 0.25
NET.3.1.A5;G 0.27
NET.3.1.A5;G 0.40
NET.3.1.A6;G 0.27
NET.3.1.A7;G 0.37
NET.3.1.A8;G 0.27
NET.3.1.A8;G 0.45
NET.3.1.A9;G 0.14
NET.3.1.A9;G 0.18
NET.3.1.A9;G 0.19
NET.3.1.A10;G 0.18
NET.3.1.A11;G 0.18
NET.3.1.A12;G 0.31
NET.3.1.A13;G 0.14
NET.3.1.A13;G 0.23
NET.3.1.A13;G 0.30
NET.3.1.A13;G 0.46
NET.3.1.A14;G 0.23
NET.3.1.A14;G 0.40
NET.3.1.A15;G 0.23
NET.3.1.A16;G 0.9
NET.3.1.A16;G 0.23
NET.3.1.A16;G 0.25
NET.3.1.A16;G 0.40
NET.3.1.A17;G 0.9
NET.3.1.A17;G 0.25
NET.3.1.A17;G 0.40
NET.3.1.A18;G 0.23
NET.3.1.A18;G 0.30
NET.3.1.A19;G 0.25
NET.3.1.A19;G 0.30
NET.3.1.A20;G 0.23
NET.3.1.A20;G 0.30
NET.3.1.A20;G 0.43
NET.3.1.A20;G 0.46
NET.3.1.A21;G 0.23
NET.3.1.A21;G 0.30
NET.3.1.A22;G 0.18
NET.3.1.A22;G 0.27
NET.3.1.A23;G 0.18
NET.3.1.A24;G 0.23
NET.3.1.A24;G 0.30
NET.3.1.A25;G 0.22
NET.3.1.A25;G 0.23
NET.3.1.A25;G 0.30
NET.3.1.A25;G 0.46
NET.3.1.A26;G 0.23
NET.3.1.A26;G 0.27
NET.3.1.A27;G 0.27
NET.3.1.A28;G 0.18
